企業名,EDINETコード,成功/失敗,データソース,売上高（円）,売上高（兆円）,営業利益（円）,営業利益（億円）,総資産（円）,総資産（兆円）,現金及び現金同等物（円）,現金及び現金同等物（億円）,株主資本（円）,有利子負債（円）,有利子負債（億円）,実効税率,ROIC（%）,エラー内容,エラー詳細
トヨタ自動車,E02144,成功,edinet_xbrl_real,"48,036,704,000,000 ",48.04,"4,795,586,000,000 ","47,956 ","93,601,350,000,000 ",93.6,"-134,089,000,000 ",-1341,0 ,"9,416,031,000,000 ",94160,0.3,3.58,,
ソニーグループ,E01777,成功,edinet_xbrl_real,0 ,0,0 ,0 ,"35,293,173,000,000 ",35.29,0 ,0,0 ,0 ,0,0.3,0,,
本田技研工業,E02166,成功,edinet_xbrl_real,"21,688,767,000,000 ",21.69,"1,213,486,000,000 ","12,135 ","30,775,867,000,000 ",30.78,"-56,433,000,000 ",-564,0 ,0 ,0,0.3,2.76,,
任天堂,E02367,成功,edinet_xbrl_real,"1,164,922,000,000 ",1.16,"282,553,000,000 ","2,826 ","3,398,515,000,000 ",3.4,"-9,317,000,000 ",-93,"34,821,000,000 ",0 ,0,0.251061555,6.21,,
ソフトバンクグループ,E04426,成功,edinet_xbrl_real,"6,544,349,000,000 ",6.54,"989,016,000,000 ","9,890 ","16,102,195,000,000 ",16.1,"-6,618,000,000 ",-66,0 ,0 ,0,0.3,4.3,,
キーエンス,E01985,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E01985の2024年度の有価証券報告書が見つかりません
東京エレクトロン,E02652,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E02652の2024年度の有価証券報告書が見つかりません
ファーストリテイリング,E03217,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E03217の2024年度の有価証券報告書が見つかりません
オリエンタルランド,E04707,成功,edinet_xbrl_real,"679,374,000,000 ",0.68,"172,111,000,000 ","1,721 ","1,438,521,000,000 ",1.44,"-84,624,000,000 ",-846,"-11,966,000,000 ",0 ,0,0.284664888,8.08,,
日本電産,E01975,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E01975の2024年度の有価証券報告書が見つかりません
