企業名,EDINETコード,成功/失敗,業種（推定）,決算期,データソース,売上高（百万円）,営業利益（百万円）,総資産（百万円）,現金及び現金同等物（百万円）,株主資本（百万円）,有利子負債（百万円）,実効税率（%）,NOPAT（百万円）,投下資本（百万円）,ROIC（%）,資産回転率,営業利益率（%）,ROE（%）,ROA（%）,備考・エラー詳細,調査コメント
トヨタ自動車,E02144,成功,自動車,3月,edinet_xbrl_real,"48,036,704 ","4,795,586 ","93,601,350 ","-134,089 ",0 ,"9,416,031 ",30,"3,356,910 ","93,735,439 ",3.58,0.51,9.98,352616617647058000%,5.12,,"2025年3月期、連結。現金及び現金同等物のただしい額は8,982,404（百万円）。表示されている-134,089 は「現金及び現金同等物に対する為替変動の影響額」なので間違い。有利子負債は連結では流動負債15,829,516（百万円）＋非流動負債22,963,363（百万円）＝38792879（百万円）なので間違い（9,416,031 という数字がどこから取得されたか不明（有報に記載がない））。NOPAT（百万円）の3,356,910 は計算方法が不明。有報にも記載なし。営業利益率営業利益額を売上で除して算出したものと考えられる。数値に間違いはないが計算したのか、それともEDINETから直接取得したのかの確認必要。ROIC、資産回転率、ROE、ROAも同様で計算したのか、有報から直接取得したのか確認必要。ROEは352616617647058000%と数値がおかしい。"
ソニーグループ,E01777,成功,エレクトロニクス,3月,edinet_xbrl_real,0 ,0 ,"35,293,173 ",0 ,0 ,0 ,30,0 ,"35,293,173 ",0,0,0,0%,0,,
本田技研工業,E02166,成功,自動車,3月,edinet_xbrl_real,"21,688,767 ","1,213,486 ","30,775,867 ","-56,433 ",0 ,0 ,30,"849,440 ","30,832,300 ",2.76,0.7,5.59,181117313432835000%,3.94,,
任天堂,E02367,成功,ゲーム,3月,edinet_xbrl_real,"1,164,922 ","282,553 ","3,398,515 ","-9,317 ","34,821 ",0 ,25.11,"211,615 ","3,407,832 ",6.21,0.34,24.26,81144%,8.31,,
ソフトバンクグループ,E04426,成功,通信・IT,3月,edinet_xbrl_real,"6,544,349 ","989,016 ","16,102,195 ","-6,618 ",0 ,0 ,30,"692,311 ","16,108,813 ",4.3,0.41,15.11,48244682926829200%,6.14,,
キーエンス,E01985,失敗,精密機器,3月,,,,,,,,,,,,,,,,該当する書類が見つかりません: E01985の2024年度の有価証券報告書が見つかりません,
東京エレクトロン,E02652,失敗,半導体製造装置,3月,,,,,,,,,,,,,,,,該当する書類が見つかりません: E02652の2024年度の有価証券報告書が見つかりません,
ファーストリテイリング,E03217,失敗,小売・アパレル,3月,,,,,,,,,,,,,,,,該当する書類が見つかりません: E03217の2024年度の有価証券報告書が見つかりません,
オリエンタルランド,E04707,成功,エンターテイメント,3月,edinet_xbrl_real,"679,374 ","172,111 ","1,438,521 ","-84,624 ","-11,966 ",0 ,28.47,"123,117 ","1,523,145 ",8.08,0.47,25.33,-143833%,11.96,,
日本電産,E01975,失敗,電子部品・モーター,3月,,,,,,,,,,,,,,,,該当する書類が見つかりません: E01975の2024年度の有価証券報告書が見つかりません,
